          1.86822619         -0.87400603         -0.04753857
           8           1          10           2   2.4763976454191596E-004
           8           1          11           2  -1.5659681395400557E-005
           8           1          11           3   9.4862210262830866E-006
           8           1          12           2  -5.0369143987406171E-005
           8           1          12           3   7.5904638404797515E-006
           8           1          13           1   2.9284322716696807E-005
           8           1          13           2  -1.4660908013659744E-005
           8           1          13           3  -3.9216240006275749E-006
           8           1          14           2  -1.1154878942469320E-004
           8           1          14           3   1.0016169724480908E-005
           8           1          15           2  -2.9268749116613302E-004
           8           1          15           3   1.7390790866391074E-005
           8           1          16           2   4.6258093733383694E-004
           8           1          18           2   1.6614800868330713E-004
           8           1          19           1   1.3128520744000411E-006
           8           1          19           2  -6.0332747586967471E-007
           8           1          19           3   1.1078414434988280E-006
           8           3           1           1   4.1988883809225158E-006
           8           3           1           2  -1.4702539385863513E-006
           8           3           1           3   1.6897843513823295E-006
           8           3           2           1  -1.0195492090668193E-004
           8           3           2           2   3.3991497664420565E-005
           8           3           2           3  -1.6384004259428735E-005
           8           3           5           1   1.7728299228329554E-006
           8           3           5           2   5.8038036816215675E-006
           8           3           5           3  -2.9292954831918262E-006
           8           3           6           2  -1.3897040212783982E-005
           8           3           7           2   3.5670230781629869E-006
           8           3           7           3  -6.0791886614338655E-007
           8           3           8           1   5.2621644264374797E-005
           8           3           8           3   1.4322594704435670E-005
           8           3           9           2  -4.0672862630125357E-005
           8           3           9           3  -2.0438271416025584E-006
           8           3          10           2   8.4195694172888459E-005
           8           3          11           2  -3.1907467634804940E-006
           8           3          11           3   2.0992077065338272E-006
           8           3          12           2  -2.2065900703803787E-005
           8           3          12           3   7.2120612537145730E-006
           8           3          13           1   2.5517027879225837E-006
           8           3          13           2  -1.2066611502978061E-006
           8           3          13           3  -8.4553999954106446E-007
           8           3          14           2  -1.1565514066103389E-005
           8           3          14           3   1.5883949311765120E-006
           8           3          15           2  -3.4128141626834700E-005
           8           3          15           3  -2.0931175982441795E-008
           8           3          16           2   9.6443458612419116E-005
           8           3          18           2   2.7397680420735450E-005
           8           3          19           1   3.9236425073553717E-007
           8           3          19           2  -1.7998094615091201E-007
           8           3          19           3   2.8671622101365684E-007
           9           2           1           1  -1.0928151157730036E-005
           9           2           1           2   6.3310124662915006E-006
           9           2           1           3  -8.4907985212859745E-006
           9           2           2           1   2.5754853480999617E-004
           9           2           2           2  -7.6471274657935684E-005
           9           2           2           3   3.4222528783842348E-005
           9           2           5           1  -8.6136833933122363E-006
           9           2           5           2  -2.0350456510264073E-005
           9           2           5           3   1.3270856427330988E-005
           9           2           6           2   6.4849278129947908E-005
           9           2           7           2  -3.4154922377113252E-005
           9           2           7           3   5.5121137812509369E-006
           9           2           8           1  -2.2011319804062854E-004
           9           2           8           3  -4.0672861827982642E-005
           9           2           9           2   2.7490254577768833E-004
           9           2           9           3  -1.8680455717922990E-005
           9           2          10           2  -8.5599506993930112E-004
           9           2          11           2   1.8594251117765757E-005
           9           2          11           3  -1.1560609460517409E-005
           9           2          12           2   9.2781003852794716E-005
           9           2          12           3  -2.0087547295346239E-005
           9           2          13           1  -1.2377556394914175E-005
           9           2          13           2   4.2637733865566815E-006
           9           2          13           3   5.0138717870717105E-006
           9           2          14           2   5.4873527328822747E-005
           9           2          14           3  -8.1360709557302607E-006
           9           2          15           2   1.4628882777786655E-004
           9           2          15           3  -2.5155494147900744E-006
           9           2          16           2   6.7059195716477201E-005
           9           2          18           2  -5.0022661823073873E-005
           9           2          19           1  -1.6689251251282414E-006
           9           2          19           2   7.5957308235934576E-007
           9           2          19           3  -1.4723454095577205E-006
           9           3           1           1  -2.5709648994232516E-006
           9           3           1           2   1.0533597111036419E-006
           9           3           1           3  -1.1102510844962692E-006
           9           3           2           1   5.7614354691933584E-006
           9           3           2           2  -6.1948413484521132E-006
           9           3           2           3   4.2135495861623284E-006
           9           3           5           1  -5.4892412940930465E-007
           9           3           5           2  -5.4969360294962368E-006
           9           3           5           3   1.8216745367625421E-006
           9           3           6           2   4.7567248980070761E-006
           9           3           7           2   2.1610920613286092E-006
           9           3           7           3  -4.7407198486552389E-007
           9           3           8           1   2.6700146830504059E-005
           9           3           8           3  -2.0438272172112697E-006
           9           3           9           2  -1.8680455575383506E-005
           9           3           9           3   1.2295476877636680E-005
           9           3          10           2   4.0404622524723659E-005
           9           3          11           2   4.7490765547443559E-006
           9           3          11           3  -1.9303432683659807E-006
           9           3          12           2  -4.1072144261246746E-006
           9           3          12           3   1.3500035063800739E-006
           9           3          13           1  -7.8808294827256673E-007
           9           3          13           2   1.1311267504098851E-006
           9           3          13           3   2.6074094650974605E-007
           9           3          14           2   7.1265298751166520E-006
           9           3          14           3  -1.0639778714775874E-006
           9           3          15           2   8.0762641406221406E-006
           9           3          15           3   1.2625364473677937E-006
           9           3          16           2  -5.0865135081190633E-005
           9           3          18           2  -1.3285469630683157E-005
           9           3          19           1   6.5389259642404601E-008
           9           3          19           2  -2.6251716576105837E-008
           9           3          19           3  -1.5912086801091292E-007
          10           2           1           1   5.4375438956524233E-005
          10           2           1           2  -2.5247383799927350E-005
          10           2           1           3   3.0514702603007058E-005
          10           2           2           1  -2.0450853731943989E-004
          10           2           2           2   7.6196533928761095E-005
          10           2           2           3  -3.9539470922634359E-005
          10           2           5           1   1.7480272811037994E-005
          10           2           5           2   8.4459357672843965E-005
          10           2           5           3  -4.7647232610356452E-005
          10           2           6           2  -1.8853159364265953E-004
          10           2           7           2   8.0223584472036654E-005
          10           2           7           3  -1.3863020656092787E-005
          10           2           8           1   2.4763974999578696E-004
          10           2           8           3   8.4195690826774789E-005
          10           2           9           2  -8.5599506420650309E-004
          10           2           9           3   4.0404622578996923E-005
          10           2          10           2   3.2677665460714030E-003
          10           2          11           2  -7.2998812998035763E-005
          10           2          11           3   4.2043871125532322E-005
          10           2          12           2  -2.7060914176617936E-004
          10           2          12           3   4.7248430020810558E-005
          10           2          13           1   2.5173635228591050E-005
          10           2          13           2  -6.2017278307480061E-006
          10           2          13           3  -1.6982832640643202E-005
          10           2          14           2  -1.3541987620904731E-004
          10           2          14           3   2.5710333158204932E-005
          10           2          15           2  -3.1550767630581119E-004
          10           2          15           3  -5.1236723666206114E-006
          10           2          16           2  -9.9714549345247252E-004
          10           2          18           2   8.8414177586221211E-006
          10           2          19           1   4.7013917651100314E-006
          10           2          19           2  -2.1395041103723755E-006
          10           2          19           3   5.0837372433558629E-006
          11           2           1           1   3.0979823390910327E-005
          11           2           1           2  -5.5153128639920559E-007
          11           2           1           3  -3.9349953906570850E-006
          11           2           2           1   7.1812584064608082E-006
          11           2           2           2  -7.1484592201466063E-006
          11           2           2           3   4.2848939176878764E-006
          11           2           5           1  -4.1246249009137999E-006
          11           2           5           2  -4.0192840623961291E-006
          11           2           5           3   3.0307373390247868E-006
